日期,品牌,产品类别,产品型号,销售数量,单价(元),销售额(元),省份,城市,销售渠道,经销商
2025-02-05,OPPO,耳机,Enco Air3,8,389,3112,辽宁,沈阳,品牌官网,品牌官网平台
2025-02-05,苹果,平板,iPad Pro 11,12,7636,91632,重庆,重庆市,线下专卖店,重庆市电器城
2025-02-05,小米,笔记本,Xiaomi Book Pro 16,10,8837,88370,辽宁,大连,品牌官网,品牌官网平台
2025-02-05,索尼,手机,Xperia 1 V,2,9693,19386,北京,北京市,线下专卖店,北京市索尼专卖店
2025-02-06,戴尔,笔记本,XPS 13,2,10154,20308,陕西,西安,天猫,天猫平台
2025-02-07,vivo,耳机,TWS 3,14,651,9114,四川,绵阳,天猫,天猫平台
2025-02-07,联想,笔记本,ThinkPad X1 Carbon,13,12438,161694,河南,新乡,线下专卖店,新乡电器城
2025-02-07,索尼,耳机,LinkBuds S,2,1099,2198,安徽,合肥,天猫,天猫平台
2025-02-07,苹果,平板,iPad Air,15,5114,76710,浙江,杭州,拼多多,拼多多平台
2025-02-07,OPPO,手表,Watch 4 Pro,12,2445,29340,四川,绵阳,拼多多,拼多多平台
2025-02-07,小米,平板,Xiaomi Pad 6,5,2130,10650,四川,宜宾,品牌官网,品牌官网平台
2025-02-07,惠普,显示器,X27q,7,1827,12789,重庆,重庆市,京东,京东平台
2025-02-07,华为,平板,MatePad 11,12,3006,36072,四川,宜宾,线下专卖店,宜宾华为专卖店
2025-02-08,OPPO,手机,A3,9,1930,17370,湖北,宜昌,拼多多,拼多多平台
2025-02-08,vivo,耳机,TWS 3,7,642,4494,浙江,嘉兴,线下专卖店,嘉兴vivo专卖店
2025-02-09,苹果,笔记本,MacBook Air M2,12,9397,112764,浙江,宁波,京东,京东平台
2025-02-09,三星,手机,Galaxy S24,9,7857,70713,辽宁,沈阳,线下专卖店,沈阳电器城
2025-02-09,惠普,显示器,X27q,8,1787,14296,安徽,蚌埠,品牌官网,品牌官网平台
2025-02-10,OPPO,手表,Watch 4 Pro,5,2207,11035,四川,绵阳,拼多多,拼多多平台
2025-02-10,OPPO,耳机,Enco X2,11,915,10065,浙江,嘉兴,天猫,天猫平台
2025-02-10,三星,手机,Galaxy S24,13,7144,92872,北京,北京市,电器城,北京市三星专卖店
2025-02-10,苹果,手机,iPhone 15 Pro,11,12800,140800,河北,石家庄,线下专卖店,石家庄苹果专卖店
2025-02-10,索尼,耳机,LinkBuds S,7,1099,7693,湖南,常德,天猫,天猫平台
2025-02-12,三星,耳机,Galaxy Buds2 Pro,2,1299,2598,四川,宜宾,电器城,宜宾三星专卖店
2025-02-12,联想,平板,小新Pad Pro,15,3260,48900,山东,烟台,京东,京东平台
2025-02-12,惠普,笔记本,Envy 16,12,10696,128352,辽宁,沈阳,线下专卖店,沈阳惠普专卖店
2025-02-12,惠普,显示器,X27q,14,1918,26852,广东,珠海,品牌官网,品牌官网平台
2025-02-12,惠普,显示器,E27u G5,1,2076,2076,四川,成都,天猫,天猫平台
2025-02-13,苹果,平板,iPad Air,5,5889,29445,陕西,宝鸡,品牌官网,品牌官网平台
2025-02-13,戴尔,显示器,UltraSharp 27,4,3015,12060,山东,潍坊,品牌官网,品牌官网平台
2025-02-13,vivo,耳机,TWS Air,12,231,2772,湖南,株洲,品牌官网,品牌官网平台
2025-02-13,vivo,手机,X100 Pro,5,5917,29585,河南,郑州,京东,京东平台
2025-02-14,小米,耳机,Xiaomi Buds 3,4,648,2592,陕西,宝鸡,拼多多,拼多多平台
2025-02-14,小米,耳机,Redmi Buds 4 Pro,13,487,6331,上海,上海市,品牌官网,品牌官网平台
2025-02-14,三星,平板,Tab A9,6,2740,16440,福建,福州,电器城,福州电器城
2025-02-14,小米,手机,Xiaomi 14,11,4571,50281,江苏,南京,品牌官网,品牌官网平台
2025-02-15,小米,耳机,Xiaomi Buds 3,10,651,6510,浙江,温州,线下专卖店,温州小米专卖店
2025-02-15,联想,笔记本,拯救者Y9000P,4,10817,43268,山东,潍坊,京东,京东平台
2025-02-15,苹果,耳机,AirPods 3,8,1399,11192,重庆,重庆市,品牌官网,品牌官网平台
2025-02-16,联想,笔记本,小新Pro 16,15,6433,96495,北京,北京市,电器城,北京市联想专卖店
2025-02-16,惠普,笔记本,暗影精灵9,10,9504,95040,浙江,宁波,天猫,天猫平台
2025-02-16,惠普,笔记本,Spectre x360,2,10192,20384,福建,泉州,拼多多,拼多多平台
2025-02-17,华为,笔记本,MateBook X Pro,2,10199,20398,广东,佛山,天猫,天猫平台
2025-02-18,vivo,耳机,TWS 3,11,644,7084,上海,上海市,品牌官网,品牌官网平台
2025-02-19,苹果,手机,iPhone 15 Pro,6,12647,75882,辽宁,大连,线下专卖店,大连电器城
2025-02-19,小米,手机,Xiaomi 14,5,4178,20890,河北,石家庄,京东,京东平台
2025-02-19,索尼,手机,Xperia 5 V,4,6874,27496,福建,泉州,天猫,天猫平台
2025-02-20,OPPO,耳机,Enco Air3,9,340,3060,河北,保定,拼多多,拼多多平台
2025-02-20,OPPO,手表,Watch 4 Pro,11,2241,24651,四川,宜宾,电器城,宜宾OPPO专卖店
2025-02-20,OPPO,手机,A3,8,1648,13184,陕西,宝鸡,天猫,天猫平台
2025-02-22,小米,手表,Xiaomi Watch S3,4,1237,4948,福建,福州,电器城,福州电器城
2025-02-22,惠普,显示器,X27q,3,1947,5841,湖南,株洲,电器城,株洲惠普专卖店
2025-02-22,小米,平板,Xiaomi Pad 6,14,2273,31822,上海,上海市,京东,京东平台
2025-02-23,OPPO,耳机,Enco Air3,11,360,3960,福建,泉州,品牌官网,品牌官网平台
2025-02-23,戴尔,笔记本,Alienware m16,6,18420,110520,重庆,重庆市,品牌官网,品牌官网平台
2025-02-23,苹果,耳机,AirPods 3,6,1399,8394,湖北,武汉,京东,京东平台
2025-02-23,索尼,手机,Xperia 1 V,11,8141,89551,湖南,衡阳,天猫,天猫平台
2025-02-23,三星,手表,Galaxy Watch 6,1,2890,2890,四川,成都,电器城,成都电器城
2025-02-24,OPPO,手机,Reno 11,8,3702,29616,福建,福州,品牌官网,品牌官网平台
2025-02-24,戴尔,笔记本,Inspiron 15,15,4267,64005,四川,宜宾,电器城,宜宾戴尔专卖店
2025-02-25,三星,平板,Tab A9,10,2018,20180,湖南,衡阳,品牌官网,品牌官网平台
2025-02-25,OPPO,耳机,Enco Air3,9,384,3456,陕西,西安,电器城,西安OPPO专卖店
2025-02-25,苹果,手机,iPhone 15,2,7535,15070,湖北,襄阳,拼多多,拼多多平台
2025-02-25,苹果,笔记本,MacBook Pro 14,3,13861,41583,四川,绵阳,天猫,天猫平台
2025-02-28,vivo,耳机,TWS 3,9,523,4707,山东,济南,电器城,济南电器城
2025-02-28,OPPO,手机,Reno 11,10,3252,32520,重庆,重庆市,拼多多,拼多多平台
2025-02-28,惠普,显示器,X27q,8,1732,13856,上海,上海市,天猫,天猫平台
2025-02-28,vivo,手机,Y100,4,1701,6804,山东,潍坊,品牌官网,品牌官网平台
2025-02-28,OPPO,手机,Find X7 Ultra,8,6646,53168,浙江,嘉兴,品牌官网,品牌官网平台
2025-03-01,华为,耳机,FreeBuds 5,8,899,7192,江苏,无锡,品牌官网,品牌官网平台
2025-03-01,惠普,笔记本,Spectre x360,14,9256,129584,上海,上海市,拼多多,拼多多平台
2025-03-01,vivo,手机,Y100,10,1923,19230,山东,济南,拼多多,拼多多平台
2025-03-01,惠普,笔记本,Envy 16,6,10614,63684,河南,洛阳,电器城,洛阳电器城
2025-03-01,惠普,显示器,X27q,9,1889,17001,江苏,常州,天猫,天猫平台
2025-03-01,OPPO,手机,Find X7 Ultra,8,7873,62984,辽宁,沈阳,京东,京东平台
2025-03-02,vivo,耳机,TWS 3,7,564,3948,湖南,衡阳,拼多多,拼多多平台
2025-03-02,苹果,耳机,AirPods Pro 2,9,1899,17091,陕西,西安,拼多多,拼多多平台
2025-03-03,索尼,手机,Xperia 1 V,12,9882,118584,北京,北京市,线下专卖店,北京市索尼专卖店
2025-03-04,三星,手机,Galaxy S24,9,7568,68112,安徽,合肥,电器城,合肥电器城
2025-03-04,联想,笔记本,拯救者Y9000P,15,12416,186240,湖北,襄阳,天猫,天猫平台
2025-03-04,三星,平板,Tab A9,13,2989,38857,湖南,常德,线下专卖店,常德三星专卖店
2025-03-04,三星,手机,Galaxy A55,1,3668,3668,上海,上海市,电器城,上海市电器城
2025-03-05,惠普,显示器,X27q,13,1694,22022,北京,北京市,京东,京东平台
2025-03-05,索尼,耳机,LinkBuds S,14,1099,15386,浙江,宁波,品牌官网,品牌官网平台
2025-03-06,苹果,耳机,AirPods 3,14,1399,19586,重庆,重庆市,天猫,天猫平台
2025-03-06,联想,平板,小新Pad Pro,5,2531,12655,山东,烟台,拼多多,拼多多平台
2025-03-07,小米,手表,Redmi Watch 4,6,626,3756,湖北,宜昌,京东,京东平台
2025-03-08,惠普,笔记本,暗影精灵9,8,7924,63392,福建,厦门,电器城,厦门电器城
2025-03-08,华为,手表,Watch Ultimate,10,6953,69530,陕西,西安,品牌官网,品牌官网平台
2025-03-08,戴尔,显示器,UltraSharp 27,11,3524,38764,北京,北京市,天猫,天猫平台
2025-03-09,索尼,手机,Xperia 5 V,4,6745,26980,陕西,宝鸡,品牌官网,品牌官网平台
2025-03-10,华为,笔记本,MateBook X Pro,5,12281,61405,江苏,苏州,线下专卖店,苏州华为专卖店
2025-03-10,OPPO,手表,Watch 4 Pro,11,2443,26873,福建,泉州,品牌官网,品牌官网平台
2025-03-10,华为,笔记本,MateBook 14,9,6475,58275,湖南,株洲,拼多多,拼多多平台
2025-03-10,三星,手表,Galaxy Watch 6,10,2219,22190,山东,济南,天猫,天猫平台
2025-03-10,索尼,耳机,WH-1000XM5,13,1999,25987,湖北,宜昌,品牌官网,品牌官网平台
2025-03-10,戴尔,笔记本,Alienware m16,12,18507,222084,福建,厦门,品牌官网,品牌官网平台
2025-03-10,荣耀,手表,Band 7,10,384,3840,上海,上海市,京东,京东平台
2025-03-10,小米,笔记本,Xiaomi Book Pro 16,6,6676,40056,辽宁,沈阳,京东,京东平台
2025-03-11,华为,手表,Watch Ultimate,5,7670,38350,辽宁,沈阳,线下专卖店,沈阳华为专卖店
2025-03-12,vivo,手机,S18,4,3252,13008,广东,珠海,拼多多,拼多多平台
2025-03-12,华为,平板,MatePad 11,4,2758,11032,浙江,杭州,拼多多,拼多多平台
2025-03-12,华为,手机,P60 Pro,8,7921,63368,上海,上海市,品牌官网,品牌官网平台
2025-03-13,荣耀,笔记本,MagicBook Pro 16,9,6125,55125,山东,济南,品牌官网,品牌官网平台
2025-03-14,vivo,耳机,TWS 3,2,561,1122,河北,保定,京东,京东平台
2025-03-14,联想,笔记本,拯救者Y9000P,2,12267,24534,浙江,宁波,线下专卖店,宁波电器城
2025-03-14,小米,平板,Xiaomi Pad 6,14,2105,29470,上海,上海市,电器城,上海市电器城
2025-03-14,三星,耳机,Buds FE,7,699,4893,湖南,长沙,天猫,天猫平台
2025-03-15,索尼,耳机,WH-1000XM5,1,1999,1999,湖北,武汉,线下专卖店,武汉电器城
2025-03-15,联想,笔记本,小新Pro 16,3,6458,19374,山东,潍坊,电器城,潍坊联想专卖店
2025-03-15,联想,笔记本,拯救者Y9000P,5,10470,52350,河北,保定,天猫,天猫平台
2025-03-15,华为,手表,Watch GT 4,3,1681,5043,湖南,长沙,线下专卖店,长沙华为专卖店
2025-03-15,索尼,耳机,WF-1000XM5,12,1599,19188,浙江,宁波,天猫,天猫平台
2025-03-15,vivo,耳机,TWS 3,1,665,665,辽宁,沈阳,线下专卖店,沈阳vivo专卖店
2025-03-17,苹果,平板,iPad Pro 11,7,7904,55328,福建,泉州,天猫,天猫平台
2025-03-17,索尼,耳机,LinkBuds S,2,1099,2198,浙江,宁波,品牌官网,品牌官网平台
2025-03-17,索尼,手机,Xperia 5 V,2,6193,12386,辽宁,大连,拼多多,拼多多平台
2025-03-17,荣耀,笔记本,MagicBook X 14,11,4050,44550,重庆,重庆市,品牌官网,品牌官网平台
2025-03-17,索尼,手机,Xperia 1 V,1,9068,9068,浙江,嘉兴,电器城,嘉兴电器城
2025-03-18,三星,手表,Galaxy Watch 6,2,2790,5580,河南,洛阳,线下专卖店,洛阳电器城
2025-03-18,小米,笔记本,Xiaomi Book Pro 16,14,7457,104398,陕西,西安,电器城,西安小米专卖店
2025-03-18,vivo,手机,X100 Pro,7,5641,39487,福建,厦门,拼多多,拼多多平台
2025-03-18,联想,笔记本,小新Pro 16,1,6659,6659,安徽,芜湖,拼多多,拼多多平台
2025-03-18,华为,平板,MatePad 11,12,3486,41832,河南,郑州,品牌官网,品牌官网平台
2025-03-19,vivo,手机,X100 Pro,9,6064,54576,上海,上海市,拼多多,拼多多平台
2025-03-19,索尼,手机,Xperia 1 V,7,9499,66493,福建,福州,电器城,福州电器城
2025-03-19,vivo,手机,S18,2,2643,5286,湖南,衡阳,京东,京东平台
2025-03-20,索尼,耳机,WH-1000XM5,4,1999,7996,江苏,南京,京东,京东平台
2025-03-20,三星,平板,Tab A9,12,2755,33060,上海,上海市,京东,京东平台
2025-03-20,OPPO,耳机,Enco X2,11,957,10527,重庆,重庆市,品牌官网,品牌官网平台
2025-03-20,华为,耳机,FreeBuds 5,15,899,13485,广东,珠海,天猫,天猫平台
2025-03-21,vivo,手机,Y100,12,1820,21840,湖北,宜昌,京东,京东平台
2025-03-21,惠普,显示器,X27q,6,1687,10122,河南,新乡,品牌官网,品牌官网平台
2025-03-21,荣耀,手机,90 GT,2,3311,6622,广东,深圳,品牌官网,品牌官网平台
2025-03-22,联想,平板,Yoga Tab 13,14,4630,64820,河北,保定,线下专卖店,保定联想专卖店
2025-03-23,戴尔,显示器,UltraSharp 27,9,3677,33093,广东,东莞,品牌官网,品牌官网平台
2025-03-24,戴尔,显示器,UltraSharp 27,14,3085,43190,河南,洛阳,线下专卖店,洛阳戴尔专卖店
2025-03-24,vivo,手机,S18,13,2596,33748,山东,济南,线下专卖店,济南vivo专卖店
2025-03-24,苹果,笔记本,MacBook Air M2,14,8695,121730,北京,北京市,线下专卖店,北京市电器城
2025-03-24,索尼,耳机,LinkBuds S,13,1099,14287,重庆,重庆市,电器城,重庆市索尼专卖店
2025-03-25,苹果,耳机,AirPods Pro 2,11,1899,20889,福建,厦门,京东,京东平台
2025-03-25,华为,手表,Watch Ultimate,10,6815,68150,辽宁,大连,电器城,大连华为专卖店
2025-03-26,惠普,显示器,E27u G5,14,2605,36470,四川,成都,天猫,天猫平台
2025-03-26,三星,手表,Galaxy Watch 6,1,2974,2974,河南,洛阳,电器城,洛阳电器城
2025-03-27,戴尔,笔记本,Alienware m16,9,15314,137826,河南,洛阳,品牌官网,品牌官网平台
2025-03-27,联想,笔记本,小新Pro 16,1,6105,6105,河北,保定,京东,京东平台
2025-03-27,联想,平板,小新Pad Pro,5,2979,14895,辽宁,大连,京东,京东平台
2025-03-28,vivo,耳机,TWS 3,6,646,3876,四川,绵阳,天猫,天猫平台
2025-03-28,惠普,笔记本,Spectre x360,5,9318,46590,浙江,嘉兴,京东,京东平台
2025-03-28,联想,平板,Yoga Tab 13,14,4613,64582,北京,北京市,电器城,北京市联想专卖店
2025-03-29,三星,耳机,Buds FE,4,699,2796,浙江,宁波,拼多多,拼多多平台
2025-03-30,戴尔,显示器,S2721QS,15,2532,37980,湖南,衡阳,京东,京东平台
2025-03-30,戴尔,笔记本,XPS 13,7,8291,58037,北京,北京市,京东,京东平台
2025-03-30,OPPO,耳机,Enco Air3,13,323,4199,四川,成都,京东,京东平台
2025-03-30,三星,平板,Galaxy Tab S9,12,6513,78156,山东,烟台,拼多多,拼多多平台
2025-03-30,苹果,耳机,AirPods 3,10,1399,13990,浙江,嘉兴,电器城,嘉兴苹果专卖店
2025-03-31,小米,平板,Xiaomi Pad 6,14,2652,37128,广东,东莞,拼多多,拼多多平台
2025-03-31,惠普,笔记本,Envy 16,5,9033,45165,北京,北京市,京东,京东平台
2025-04-01,vivo,耳机,TWS 3,6,607,3642,辽宁,大连,电器城,大连电器城
2025-04-01,联想,平板,Yoga Tab 13,10,4159,41590,福建,泉州,线下专卖店,泉州电器城
2025-04-01,戴尔,笔记本,Inspiron 15,6,5883,35298,重庆,重庆市,京东,京东平台
2025-04-01,联想,平板,Yoga Tab 13,14,4669,65366,湖南,长沙,线下专卖店,长沙联想专卖店
2025-04-01,vivo,手机,X100 Pro,5,6888,34440,江苏,南京,品牌官网,品牌官网平台
2025-04-01,OPPO,手机,Reno 11,14,3255,45570,广东,广州,电器城,广州OPPO专卖店
2025-04-01,荣耀,手机,Magic6 Pro,3,7496,22488,江苏,苏州,品牌官网,品牌官网平台
2025-04-02,vivo,手机,S18,4,2582,10328,上海,上海市,拼多多,拼多多平台
2025-04-03,三星,手机,Galaxy Z Flip5,5,7538,37690,北京,北京市,电器城,北京市三星专卖店
2025-04-03,荣耀,笔记本,MagicBook Pro 16,3,6954,20862,浙江,嘉兴,京东,京东平台
2025-04-03,苹果,耳机,AirPods 3,15,1399,20985,上海,上海市,京东,京东平台
2025-04-04,三星,手表,Galaxy Watch 6,15,2619,39285,湖南,衡阳,电器城,衡阳三星专卖店
2025-04-05,华为,手表,Watch GT 4,7,1729,12103,福建,泉州,拼多多,拼多多平台
2025-04-05,苹果,笔记本,MacBook Pro 14,10,13718,137180,河南,新乡,京东,京东平台
2025-04-05,vivo,手机,Y100,6,1660,9960,浙江,宁波,京东,京东平台
2025-04-06,惠普,显示器,X27q,4,1654,6616,陕西,宝鸡,天猫,天猫平台
2025-04-07,惠普,显示器,X27q,4,1750,7000,山东,济南,拼多多,拼多多平台
2025-04-07,OPPO,耳机,Enco Air3,4,380,1520,湖南,株洲,品牌官网,品牌官网平台
2025-04-07,三星,手表,Galaxy Watch 6,6,2184,13104,福建,泉州,拼多多,拼多多平台
2025-04-08,三星,平板,Tab A9,10,2460,24600,陕西,宝鸡,线下专卖店,宝鸡三星专卖店
