日期,品牌,车型,销售数量,单价(万元),销售额(万元),省份,城市,经销商
2025-01-26,奔驰,GLE,6,36.1,216.6,北京,北京市,北京市奔驰4S店
2025-01-26,宝马,5系,8,38.2,305.6,湖北,襄阳,襄阳宝马4S店
2025-01-26,特斯拉,Model 3,5,55.6,278.0,山东,烟台,烟台特斯拉4S店
2025-01-26,宝马,5系,2,48.2,96.4,北京,北京市,北京市宝马4S店
2025-01-27,丰田,RAV4,5,24.6,123.0,四川,绵阳,绵阳丰田4S店
2025-01-27,长安,UNI-K,10,10.0,100.0,河北,唐山,唐山长安4S店
2025-01-27,特斯拉,Model Y,8,36.6,292.8,上海,上海市,上海市特斯拉4S店
2025-01-27,本田,飞度,10,20.1,201.0,北京,北京市,北京市本田4S店
2025-01-27,理想,L9,2,34.4,68.8,浙江,温州,温州理想4S店
2025-01-27,大众,迈腾,5,16.0,80.0,四川,成都,成都大众4S店
2025-01-28,丰田,RAV4,8,26.3,210.4,福建,厦门,厦门丰田4S店
2025-01-28,特斯拉,Model Y,2,33.1,66.2,山东,烟台,烟台特斯拉4S店
2025-01-28,吉利,星越L,9,12.8,115.2,北京,北京市,北京市吉利4S店
2025-01-28,蔚来,ES6,8,43.9,351.2,上海,上海市,上海市蔚来4S店
2025-01-29,大众,速腾,4,24.9,99.6,陕西,西安,西安大众4S店
2025-01-30,长安,逸动,2,19.4,38.8,安徽,合肥,合肥长安4S店
2025-01-31,大众,途观,4,11.4,45.6,重庆,重庆市,重庆市大众4S店
2025-02-01,长城,哈弗H6,3,19.3,57.9,河南,洛阳,洛阳长城4S店
2025-02-01,长城,坦克300,1,27.6,27.6,湖北,襄阳,襄阳长城4S店
2025-02-02,长城,炮,4,26.4,105.6,湖北,襄阳,襄阳长城4S店
2025-02-03,本田,飞度,8,25.0,200.0,湖北,襄阳,襄阳本田4S店
2025-02-03,本田,飞度,9,12.0,108.0,重庆,重庆市,重庆市本田4S店
2025-02-03,大众,迈腾,8,23.0,184.0,安徽,芜湖,芜湖大众4S店
2025-02-04,特斯拉,Model S,10,26.2,262.0,福建,福州,福州特斯拉4S店
2025-02-04,特斯拉,Model Y,9,44.5,400.5,山东,青岛,青岛特斯拉4S店
2025-02-04,比亚迪,海豚,2,12.0,24.0,福建,厦门,厦门比亚迪4S店
2025-02-05,小鹏,G9,3,35.3,105.9,福建,厦门,厦门小鹏4S店
2025-02-05,长安,CS75,4,16.1,64.4,河南,郑州,郑州长安4S店
2025-02-05,丰田,RAV4,8,18.6,148.8,陕西,西安,西安丰田4S店
2025-02-05,本田,飞度,9,15.1,135.9,江苏,南京,南京本田4S店
2025-02-05,大众,朗逸,9,11.4,102.6,浙江,宁波,宁波大众4S店
2025-02-05,奥迪,Q5L,5,48.2,241.0,山东,济南,济南奥迪4S店
2025-02-05,大众,帕萨特,8,14.3,114.4,湖南,株洲,株洲大众4S店
2025-02-06,奔驰,C级,8,47.4,379.2,重庆,重庆市,重庆市奔驰4S店
2025-02-06,特斯拉,Model 3,6,37.0,222.0,山东,烟台,烟台特斯拉4S店
2025-02-06,本田,飞度,10,14.9,149.0,上海,上海市,上海市本田4S店
2025-02-06,长城,哈弗H6,8,12.9,103.2,福建,厦门,厦门长城4S店
2025-02-07,吉利,博越,3,13.1,39.3,重庆,重庆市,重庆市吉利4S店
2025-02-07,蔚来,ET5,7,34.7,242.9,四川,绵阳,绵阳蔚来4S店
2025-02-07,特斯拉,Model Y,3,30.4,91.2,安徽,芜湖,芜湖特斯拉4S店
2025-02-07,小鹏,G9,4,26.4,105.6,广东,广州,广州小鹏4S店
2025-02-08,丰田,凯美瑞,10,29.9,299.0,上海,上海市,上海市丰田4S店
2025-02-08,小鹏,G6,6,26.4,158.4,江苏,南京,南京小鹏4S店
2025-02-09,吉利,帝豪,4,13.3,53.2,重庆,重庆市,重庆市吉利4S店
2025-02-09,吉利,星瑞,3,10.1,30.3,广东,东莞,东莞吉利4S店
2025-02-10,比亚迪,汉,3,14.3,42.9,湖北,襄阳,襄阳比亚迪4S店
2025-02-10,奔驰,E级,6,51.8,310.8,上海,上海市,上海市奔驰4S店
2025-02-10,小鹏,P7,6,38.4,230.4,山东,青岛,青岛小鹏4S店
2025-02-11,长城,炮,2,25.2,50.4,河南,洛阳,洛阳长城4S店
2025-02-12,长城,坦克300,8,12.7,101.6,广东,广州,广州长城4S店
2025-02-12,奥迪,Q3,6,44.3,265.8,湖南,长沙,长沙奥迪4S店
2025-02-12,长安,CS75,4,17.6,70.4,江苏,南京,南京长安4S店
2025-02-12,本田,飞度,1,13.9,13.9,安徽,合肥,合肥本田4S店
2025-02-12,奥迪,A4L,5,41.4,207.0,上海,上海市,上海市奥迪4S店
2025-02-14,小鹏,G9,6,39.4,236.4,福建,厦门,厦门小鹏4S店
2025-02-14,本田,飞度,1,13.0,13.0,浙江,杭州,杭州本田4S店
2025-02-14,理想,L9,10,32.6,326.0,河北,石家庄,石家庄理想4S店
2025-02-15,奔驰,C级,10,39.7,397.0,河南,郑州,郑州奔驰4S店
2025-02-15,特斯拉,Model Y,2,32.8,65.6,湖南,长沙,长沙特斯拉4S店
2025-02-15,奥迪,Q5L,5,36.0,180.0,广东,东莞,东莞奥迪4S店
2025-02-16,奔驰,C级,2,60.4,120.8,四川,成都,成都奔驰4S店
2025-02-16,比亚迪,宋PLUS,1,22.0,22.0,湖北,襄阳,襄阳比亚迪4S店
2025-02-16,小鹏,G9,5,39.3,196.5,重庆,重庆市,重庆市小鹏4S店
2025-02-16,特斯拉,Model S,6,40.7,244.2,上海,上海市,上海市特斯拉4S店
2025-02-17,蔚来,ET7,6,49.0,294.0,陕西,西安,西安蔚来4S店
2025-02-17,理想,L8,8,32.5,260.0,北京,北京市,北京市理想4S店
2025-02-17,宝马,X3,7,35.5,248.5,河南,洛阳,洛阳宝马4S店
2025-02-17,奥迪,A6L,9,52.1,468.9,陕西,西安,西安奥迪4S店
2025-02-17,奔驰,GLC,3,33.0,99.0,四川,绵阳,绵阳奔驰4S店
2025-02-17,奥迪,A4L,9,49.0,441.0,广东,深圳,深圳奥迪4S店
2025-02-18,宝马,X5,5,39.4,197.0,山东,济南,济南宝马4S店
2025-02-18,比亚迪,海豚,3,17.1,51.3,江苏,苏州,苏州比亚迪4S店
2025-02-19,蔚来,EC6,9,54.4,489.6,北京,北京市,北京市蔚来4S店
2025-02-19,奥迪,A6L,9,47.2,424.8,河北,石家庄,石家庄奥迪4S店
2025-02-19,吉利,星瑞,7,17.6,123.2,湖南,株洲,株洲吉利4S店
2025-02-20,长城,坦克300,6,20.9,125.4,北京,北京市,北京市长城4S店
2025-02-20,蔚来,ES6,5,31.8,159.0,四川,成都,成都蔚来4S店
2025-02-21,吉利,帝豪,10,14.6,146.0,广东,佛山,佛山吉利4S店
2025-02-21,本田,思域,6,23.5,141.0,四川,绵阳,绵阳本田4S店
2025-02-22,长城,炮,2,27.8,55.6,湖南,株洲,株洲长城4S店
2025-02-22,特斯拉,Model Y,6,28.4,170.4,湖南,株洲,株洲特斯拉4S店
2025-02-22,理想,L7,8,41.5,332.0,四川,绵阳,绵阳理想4S店
2025-02-22,比亚迪,秦PLUS,2,17.1,34.2,湖南,株洲,株洲比亚迪4S店
2025-02-22,特斯拉,Model Y,5,37.9,189.5,广东,佛山,佛山特斯拉4S店
2025-02-23,大众,途观,2,11.7,23.4,安徽,合肥,合肥大众4S店
2025-02-23,奔驰,GLE,8,62.1,496.8,广东,佛山,佛山奔驰4S店
2025-02-23,丰田,汉兰达,2,26.9,53.8,安徽,合肥,合肥丰田4S店
2025-02-23,大众,帕萨特,9,18.2,163.8,山东,烟台,烟台大众4S店
2025-02-24,丰田,汉兰达,10,25.2,252.0,江苏,无锡,无锡丰田4S店
2025-02-24,比亚迪,秦PLUS,9,15.2,136.8,安徽,合肥,合肥比亚迪4S店
2025-02-24,大众,迈腾,7,17.0,119.0,上海,上海市,上海市大众4S店
2025-02-24,长安,CS75,9,17.4,156.6,重庆,重庆市,重庆市长安4S店
2025-02-24,本田,雅阁,7,12.8,89.6,浙江,宁波,宁波本田4S店
2025-02-24,小鹏,G9,8,31.5,252.0,安徽,芜湖,芜湖小鹏4S店
2025-02-24,奔驰,C级,7,33.4,233.8,广东,佛山,佛山奔驰4S店
2025-02-25,丰田,凯美瑞,8,16.4,131.2,广东,佛山,佛山丰田4S店
2025-02-25,小鹏,P7,6,33.2,199.2,广东,广州,广州小鹏4S店
2025-02-25,比亚迪,汉,7,27.3,191.1,浙江,宁波,宁波比亚迪4S店
2025-02-26,大众,帕萨特,7,21.9,153.3,湖南,长沙,长沙大众4S店
2025-02-26,长城,哈弗H6,6,12.6,75.6,河北,石家庄,石家庄长城4S店
2025-02-26,本田,飞度,5,17.9,89.5,北京,北京市,北京市本田4S店
2025-02-26,小鹏,G6,2,24.8,49.6,北京,北京市,北京市小鹏4S店
2025-02-26,特斯拉,Model S,1,48.1,48.1,陕西,西安,西安特斯拉4S店
2025-02-26,理想,L8,4,47.3,189.2,河南,洛阳,洛阳理想4S店
2025-02-26,蔚来,ES6,8,37.6,300.8,福建,福州,福州蔚来4S店
2025-02-27,特斯拉,Model S,9,56.6,509.4,北京,北京市,北京市特斯拉4S店
2025-02-27,比亚迪,唐,1,18.4,18.4,浙江,杭州,杭州比亚迪4S店
2025-02-27,奔驰,E级,10,35.9,359.0,湖南,长沙,长沙奔驰4S店
2025-02-27,奔驰,GLE,5,31.8,159.0,福建,厦门,厦门奔驰4S店
2025-02-28,奥迪,A4L,4,29.2,116.8,陕西,西安,西安奥迪4S店
2025-02-28,奥迪,Q3,10,39.4,394.0,广东,佛山,佛山奥迪4S店
2025-02-28,长安,UNI-K,2,11.9,23.8,陕西,西安,西安长安4S店
2025-03-01,特斯拉,Model 3,3,56.1,168.3,河南,洛阳,洛阳特斯拉4S店
2025-03-01,理想,L9,5,32.8,164.0,山东,青岛,青岛理想4S店
2025-03-01,奥迪,A4L,3,34.3,102.9,上海,上海市,上海市奥迪4S店
2025-03-02,蔚来,ET7,10,57.4,574.0,安徽,合肥,合肥蔚来4S店
2025-03-02,奥迪,A4L,10,51.0,510.0,湖南,长沙,长沙奥迪4S店
2025-03-02,奥迪,A4L,7,28.1,196.7,北京,北京市,北京市奥迪4S店
2025-03-03,吉利,帝豪,9,9.8,88.2,北京,北京市,北京市吉利4S店
2025-03-04,比亚迪,唐,4,22.2,88.8,安徽,合肥,合肥比亚迪4S店
2025-03-04,比亚迪,秦PLUS,4,26.6,106.4,广东,深圳,深圳比亚迪4S店
2025-03-05,奥迪,Q5L,5,45.2,226.0,湖南,株洲,株洲奥迪4S店
2025-03-05,比亚迪,秦PLUS,7,21.5,150.5,湖北,武汉,武汉比亚迪4S店
2025-03-06,奥迪,A4L,4,41.9,167.6,四川,绵阳,绵阳奥迪4S店
2025-03-06,蔚来,ES6,2,49.9,99.8,浙江,杭州,杭州蔚来4S店
2025-03-07,特斯拉,Model Y,10,48.0,480.0,重庆,重庆市,重庆市特斯拉4S店
2025-03-08,奔驰,C级,9,63.3,569.7,广东,东莞,东莞奔驰4S店
2025-03-08,长安,UNI-K,7,15.6,109.2,河南,洛阳,洛阳长安4S店
2025-03-08,大众,速腾,1,22.7,22.7,山东,青岛,青岛大众4S店
2025-03-08,长安,UNI-K,8,14.2,113.6,四川,成都,成都长安4S店
2025-03-09,特斯拉,Model Y,7,36.4,254.8,广东,深圳,深圳特斯拉4S店
2025-03-09,小鹏,G9,6,37.5,225.0,湖北,襄阳,襄阳小鹏4S店
2025-03-09,长城,坦克300,5,13.2,66.0,上海,上海市,上海市长城4S店
2025-03-10,比亚迪,汉,3,20.9,62.7,陕西,西安,西安比亚迪4S店
2025-03-10,长城,炮,9,12.9,116.1,湖南,长沙,长沙长城4S店
2025-03-10,奥迪,A4L,9,36.9,332.1,北京,北京市,北京市奥迪4S店
2025-03-10,吉利,星越L,6,15.1,90.6,广东,佛山,佛山吉利4S店
2025-03-11,小鹏,G6,5,38.4,192.0,陕西,西安,西安小鹏4S店
2025-03-11,特斯拉,Model 3,7,47.5,332.5,陕西,西安,西安特斯拉4S店
2025-03-12,本田,雅阁,3,16.5,49.5,福建,福州,福州本田4S店
2025-03-13,丰田,RAV4,7,29.2,204.4,重庆,重庆市,重庆市丰田4S店
2025-03-13,小鹏,G9,9,34.5,310.5,安徽,芜湖,芜湖小鹏4S店
2025-03-13,小鹏,P7,7,31.8,222.6,山东,青岛,青岛小鹏4S店
2025-03-14,吉利,星越L,3,12.2,36.6,湖南,株洲,株洲吉利4S店
2025-03-15,本田,飞度,6,10.0,60.0,浙江,温州,温州本田4S店
2025-03-15,小鹏,G6,9,38.3,344.7,河南,洛阳,洛阳小鹏4S店
2025-03-16,蔚来,ET5,7,53.0,371.0,河南,洛阳,洛阳蔚来4S店
2025-03-17,理想,L9,10,34.8,348.0,安徽,合肥,合肥理想4S店
2025-03-17,理想,L8,2,30.3,60.6,江苏,苏州,苏州理想4S店
2025-03-17,比亚迪,唐,3,17.0,51.0,陕西,西安,西安比亚迪4S店
2025-03-17,长城,哈弗H6,5,19.1,95.5,河南,洛阳,洛阳长城4S店
2025-03-18,奥迪,Q3,9,35.4,318.6,河北,唐山,唐山奥迪4S店
2025-03-18,比亚迪,海豹,4,22.4,89.6,福建,厦门,厦门比亚迪4S店
2025-03-18,特斯拉,Model S,2,27.6,55.2,重庆,重庆市,重庆市特斯拉4S店
2025-03-18,理想,L9,10,47.8,478.0,北京,北京市,北京市理想4S店
2025-03-18,奥迪,A4L,8,30.3,242.4,广东,东莞,东莞奥迪4S店
2025-03-20,大众,帕萨特,10,22.5,225.0,河北,石家庄,石家庄大众4S店
2025-03-20,蔚来,ET7,2,53.7,107.4,四川,绵阳,绵阳蔚来4S店
2025-03-21,长城,坦克300,2,14.5,29.0,山东,烟台,烟台长城4S店
2025-03-22,比亚迪,海豚,10,19.0,190.0,四川,绵阳,绵阳比亚迪4S店
2025-03-22,奥迪,Q3,7,25.0,175.0,浙江,温州,温州奥迪4S店
2025-03-22,吉利,星越L,6,17.3,103.8,湖北,襄阳,襄阳吉利4S店
2025-03-23,蔚来,ET7,3,40.2,120.6,浙江,宁波,宁波蔚来4S店
2025-03-24,蔚来,ET7,7,46.6,326.2,湖北,武汉,武汉蔚来4S店
2025-03-24,奔驰,C级,3,62.2,186.6,四川,绵阳,绵阳奔驰4S店
2025-03-25,奥迪,Q3,9,33.1,297.9,浙江,温州,温州奥迪4S店
2025-03-26,奔驰,C级,5,69.4,347.0,重庆,重庆市,重庆市奔驰4S店
2025-03-26,小鹏,G6,10,31.9,319.0,重庆,重庆市,重庆市小鹏4S店
2025-03-26,本田,飞度,5,24.5,122.5,安徽,芜湖,芜湖本田4S店
2025-03-26,大众,途观,4,24.0,96.0,山东,烟台,烟台大众4S店
2025-03-26,长安,逸动,4,17.4,69.6,河北,石家庄,石家庄长安4S店
2025-03-26,小鹏,G6,4,20.4,81.6,安徽,合肥,合肥小鹏4S店
2025-03-27,奔驰,GLE,7,49.3,345.1,重庆,重庆市,重庆市奔驰4S店
2025-03-27,蔚来,ET7,1,40.5,40.5,安徽,芜湖,芜湖蔚来4S店
2025-03-27,宝马,5系,5,52.5,262.5,安徽,合肥,合肥宝马4S店
2025-03-27,特斯拉,Model 3,5,35.4,177.0,四川,绵阳,绵阳特斯拉4S店
2025-03-29,大众,朗逸,7,19.1,133.7,湖南,长沙,长沙大众4S店
2025-03-29,长城,炮,10,24.4,244.0,山东,烟台,烟台长城4S店
2025-03-29,奔驰,E级,9,59.3,533.7,重庆,重庆市,重庆市奔驰4S店
2025-03-29,比亚迪,汉,10,14.0,140.0,江苏,南京,南京比亚迪4S店
2025-03-30,长安,逸动,2,17.1,34.2,广东,佛山,佛山长安4S店
2025-03-30,宝马,5系,5,57.2,286.0,江苏,苏州,苏州宝马4S店
2025-03-30,丰田,凯美瑞,4,31.3,125.2,北京,北京市,北京市丰田4S店
2025-03-31,大众,迈腾,4,18.0,72.0,湖北,襄阳,襄阳大众4S店
2025-03-31,长安,UNI-K,9,17.9,161.1,山东,济南,济南长安4S店
2025-03-31,长城,炮,5,11.6,58.0,陕西,西安,西安长城4S店
2025-04-01,奔驰,C级,6,37.2,223.2,河北,唐山,唐山奔驰4S店
2025-04-01,理想,L8,6,41.7,250.2,山东,济南,济南理想4S店
2025-04-01,本田,飞度,2,11.0,22.0,福建,厦门,厦门本田4S店
2025-04-02,长安,UNI-V,10,8.5,85.0,河南,洛阳,洛阳长安4S店
2025-04-02,特斯拉,Model 3,4,43.4,173.6,浙江,温州,温州特斯拉4S店
2025-04-02,理想,L8,4,30.3,121.2,湖南,长沙,长沙理想4S店
2025-04-02,理想,L7,7,41.1,287.7,浙江,宁波,宁波理想4S店
2025-04-02,长安,逸动,8,16.8,134.4,山东,济南,济南长安4S店
2025-04-02,宝马,X5,5,37.6,188.0,湖南,株洲,株洲宝马4S店
2025-04-02,理想,L7,8,34.0,272.0,浙江,杭州,杭州理想4S店
2025-04-03,长安,逸动,4,19.8,79.2,陕西,西安,西安长安4S店
2025-04-03,小鹏,G9,9,38.8,349.2,广东,佛山,佛山小鹏4S店
2025-04-03,特斯拉,Model 3,1,58.6,58.6,湖南,株洲,株洲特斯拉4S店
2025-04-04,本田,飞度,2,13.7,27.4,四川,成都,成都本田4S店
2025-04-05,丰田,RAV4,3,16.5,49.5,福建,福州,福州丰田4S店
2025-04-05,比亚迪,海豹,10,22.3,223.0,湖南,长沙,长沙比亚迪4S店
2025-04-06,比亚迪,唐,5,16.7,83.5,湖南,长沙,长沙比亚迪4S店
2025-04-06,丰田,汉兰达,1,24.9,24.9,北京,北京市,北京市丰田4S店
2025-04-07,小鹏,G9,9,34.5,310.5,浙江,宁波,宁波小鹏4S店
2025-04-07,奥迪,A6L,7,52.4,366.8,安徽,芜湖,芜湖奥迪4S店
2025-04-08,比亚迪,海豚,3,16.3,48.9,河南,郑州,郑州比亚迪4S店
2025-04-08,蔚来,EC6,7,33.2,232.4,北京,北京市,北京市蔚来4S店
2025-04-08,长安,逸动,6,14.5,87.0,安徽,芜湖,芜湖长安4S店
2025-04-09,奔驰,GLE,3,57.1,171.3,湖南,株洲,株洲奔驰4S店
2025-04-09,丰田,RAV4,4,24.8,99.2,江苏,苏州,苏州丰田4S店
2025-04-09,宝马,3系,3,58.4,175.2,河北,石家庄,石家庄宝马4S店
2025-04-09,吉利,博越,3,13.7,41.1,湖北,襄阳,襄阳吉利4S店
2025-04-10,本田,飞度,2,12.7,25.4,广东,深圳,深圳本田4S店
2025-04-10,奥迪,Q3,5,42.2,211.0,广东,佛山,佛山奥迪4S店
2025-04-11,丰田,RAV4,5,18.9,94.5,重庆,重庆市,重庆市丰田4S店
2025-04-12,蔚来,ET7,6,58.5,351.0,广东,深圳,深圳蔚来4S店
2025-04-13,特斯拉,Model 3,8,54.8,438.4,广东,佛山,佛山特斯拉4S店
2025-04-13,小鹏,P7,8,24.7,197.6,北京,北京市,北京市小鹏4S店
2025-04-13,丰田,RAV4,3,27.8,83.4,安徽,合肥,合肥丰田4S店
2025-04-13,本田,雅阁,5,24.8,124.0,广东,广州,广州本田4S店
2025-04-14,理想,L9,10,33.0,330.0,江苏,苏州,苏州理想4S店
2025-04-15,宝马,5系,6,39.4,236.4,安徽,芜湖,芜湖宝马4S店
2025-04-16,吉利,星越L,2,11.5,23.0,四川,绵阳,绵阳吉利4S店
2025-04-16,本田,思域,9,18.7,168.3,广东,东莞,东莞本田4S店
2025-04-16,吉利,博越,5,15.5,77.5,福建,福州,福州吉利4S店
2025-04-16,蔚来,ET5,2,39.0,78.0,福建,厦门,厦门蔚来4S店
2025-04-16,吉利,星瑞,5,13.5,67.5,广东,东莞,东莞吉利4S店
2025-04-17,理想,L8,1,36.1,36.1,浙江,杭州,杭州理想4S店
2025-04-17,奥迪,Q5L,2,38.9,77.8,上海,上海市,上海市奥迪4S店
2025-04-17,理想,L9,7,41.8,292.6,湖南,株洲,株洲理想4S店
2025-04-18,小鹏,G9,1,28.3,28.3,四川,绵阳,绵阳小鹏4S店
2025-04-18,长安,UNI-V,5,8.7,43.5,河北,石家庄,石家庄长安4S店
2025-04-19,长城,坦克300,8,17.9,143.2,广东,东莞,东莞长城4S店
2025-04-19,小鹏,P7,7,22.5,157.5,上海,上海市,上海市小鹏4S店
2025-04-19,蔚来,ET5,3,47.7,143.1,上海,上海市,上海市蔚来4S店
2025-04-21,理想,L7,3,36.6,109.8,河北,石家庄,石家庄理想4S店
2025-04-22,宝马,X5,8,39.3,314.4,山东,青岛,青岛宝马4S店
2025-04-23,大众,速腾,9,17.0,153.0,浙江,杭州,杭州大众4S店
2025-04-23,小鹏,G6,5,24.6,123.0,山东,济南,济南小鹏4S店
2025-04-24,奔驰,E级,10,42.2,422.0,山东,青岛,青岛奔驰4S店
2025-04-24,丰田,凯美瑞,8,23.0,184.0,安徽,芜湖,芜湖丰田4S店
2025-04-24,丰田,RAV4,5,19.6,98.0,浙江,温州,温州丰田4S店
2025-04-24,丰田,RAV4,5,12.5,62.5,重庆,重庆市,重庆市丰田4S店
2025-04-24,奔驰,GLC,3,61.5,184.5,广东,东莞,东莞奔驰4S店
2025-04-25,长城,炮,7,26.3,184.1,江苏,无锡,无锡长城4S店
2025-04-25,理想,L8,10,36.6,366.0,湖南,株洲,株洲理想4S店
2025-04-25,大众,速腾,6,13.9,83.4,河南,郑州,郑州大众4S店
2025-04-26,大众,途观,3,23.5,70.5,上海,上海市,上海市大众4S店
2025-04-28,特斯拉,Model 3,2,55.1,110.2,湖北,武汉,武汉特斯拉4S店
2025-04-28,丰田,汉兰达,5,20.0,100.0,浙江,温州,温州丰田4S店
2025-04-30,理想,L8,8,30.9,247.2,安徽,芜湖,芜湖理想4S店
2025-05-01,长城,坦克300,4,14.5,58.0,广东,广州,广州长城4S店
2025-05-01,奔驰,C级,1,45.0,45.0,山东,济南,济南奔驰4S店
2025-05-01,蔚来,ES6,4,56.2,224.8,浙江,杭州,杭州蔚来4S店
2025-05-02,丰田,RAV4,10,31.8,318.0,福建,厦门,厦门丰田4S店
2025-05-03,比亚迪,宋PLUS,2,27.6,55.2,上海,上海市,上海市比亚迪4S店
2025-05-03,奥迪,Q3,8,28.4,227.2,福建,福州,福州奥迪4S店
2025-05-04,蔚来,ET7,4,44.7,178.8,安徽,芜湖,芜湖蔚来4S店
2025-05-04,丰田,RAV4,5,13.1,65.5,四川,绵阳,绵阳丰田4S店
2025-05-04,本田,思域,4,21.5,86.0,湖南,株洲,株洲本田4S店
2025-05-05,小鹏,G6,4,36.1,144.4,上海,上海市,上海市小鹏4S店
2025-05-05,大众,朗逸,2,23.4,46.8,河北,唐山,唐山大众4S店
2025-05-05,小鹏,G6,7,31.4,219.8,山东,济南,济南小鹏4S店
2025-05-05,大众,速腾,9,13.1,117.9,浙江,温州,温州大众4S店
